Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C15, C16, C18, C19, C20, C25, C26, C3, C4, C5, C6, C8, C9",0201,18,100n,
"C11, C17, C28, C30, C31, C33, C34, C36, C7",0603,9,10u,
"C2, C27",0603,2,1u,
"C21, C22, C23, C24",0201,4,12p,
"C29, C32, C35",0201,3,18p,
"D1, D5",0805,2,YLED0805R,
"D2, D3, D4",D_SOD-923,3,ESD9B5.0ST5G,
J1,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,BM03B-SRSS-TB,
"J3, J5, J6",SOIC_clipProgSmall,3,SOIC_Bite,
J4,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SM04B-SRSS-TB,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper_2_Open,
"L1, L2, L3",L_Murata_DFE201610P,3,IMTF201610S2R2MCTB,
"Q1, Q2",SOT-23,2,BSS138,
"R1, R11, R12, R13, R2, R25, R26, R27, R3, R4, R6, R7, R8",0201,13,10K,
"R10, R14, R15, R17, R9",0201,5,22R,
"R18, R28, R5",0805,3,330R,
"R19, R20, R24",0201,3,100K,
R21,0201,1,510K,
R22,0201,1,110K,
R23,0201,1,150K,
"R29, R30, R31, R32, R33, R34",0201,6,0R,
"SW1, SW2",SW_SPST_EVQP7C,2,EVQP7C01P,
U1,LGA-8_8x6mm_P1.27mm,1,ZDSD32GLGEAG,
U2,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,1,AT24CS02-MAHM,
U3,ArtInChip_QFN-100-1EP_12x12mm_P0.4mm_EP7.4x7.4mm,1,D211DCV,
U4,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVE,
U5,XCVR_ESP32-C6-WROOM-1-N8,1,ESP32-C6-WROOM-1-N8,
"U6, U7, U8",SOT-23-5,3,SY8088IAAC,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,RQ24000242,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Q13FC13500004,
